latitude,longitude,total_bikes,popularity,review_count,rating
40.795,-73.9645,3.6109179126442243,,,
40.7667405590595,-73.9790689945221,-inf,,,
40.751047,-73.93797,3.091042453358316,,,
40.801694,-73.957145,3.5263605246161616,,,
40.795508,-73.941606,3.1354942159291497,,,
40.7505853470215,-73.9946848154068,4.532599493153256,,,
40.6794388,-73.9680438,3.1780538303479458,,,
40.6851443,-73.95380904,2.9444389791664403,,,
40.7557327,-73.9236611,3.332204510175204,,,
40.73652889,-74.00618026,3.2188758248682006,,,
40.728846,-74.008591,4.343805421853684,,,
40.71269042,-73.98776323,3.6375861597263857,,,
40.71782143,-73.97628939,2.9444389791664403,,,
40.69794,-73.96986848,3.091042453358316,,,
40.71850211,-73.98329859,3.8918202981106265,,,
40.7945663,-73.9362541,3.258096538021482,,,
40.6747055,-74.0075572,3.58351893845611,,,
40.76030096,-73.99884222,3.9318256327243257,,,
40.8013434,-73.9711457439,4.060443010546419,,,
40.67363551341504,-74.01195555925369,3.1354942159291497,,,
40.787801,-73.953559,3.6375861597263857,,,
40.6772744,-73.98282002,3.258096538021482,,,
40.6765304,-73.97846879,3.6888794541139363,,,
40.71019,-73.93734,3.1354942159291497,,,
40.68683208,-73.9796772,3.5263605246161616,,,
40.71406667,-73.99293911,3.4339872044851463,,,
40.73020660529954,-73.99102628231049,4.442651256490317,,,
40.70539,-73.92976,2.9444389791664403,,,
40.713811,-73.93515,2.8903717578961645,,,
40.706237,-73.933871,3.367295829986474,,,
40.702831,-73.9333,2.995732273553991,,,
40.700003,-73.92834,3.1354942159291497,,,
40.704425,-73.92836,3.1354942159291497,,,
40.7027,-73.92095,3.258096538021482,,,
40.69308257,-73.97178913,3.295836866004329,,,
40.76500525,-73.95818491,4.127134385045092,,,
40.7612274,-73.96094022,3.784189633918261,,,
40.77632142182271,-73.96427392959595,3.784189633918261,,,
40.68650065,-73.96563307,2.833213344056216,,,
40.69766564,-73.98476437,2.9444389791664403,,,
40.72755146730012,-74.07106071710587,2.833213344056216,,,
40.70140317257725,-73.98672670125961,3.6375861597263857,,,
40.7934337,-73.94945003,3.044522437723423,,,
40.6787242,-73.99599099,3.2188758248682006,,,
40.804213,-73.96699104,3.2188758248682006,,,
40.6777287,-73.99364123,3.784189633918261,,,
40.75594159,-74.0021163,4.330733340286331,,,
40.74765947,-73.98490707,3.9889840465642745,,,
40.75714758,-73.97207836,4.276666119016055,,,
40.74290902,-73.97706058,4.02535169073515,,,
40.6737236,-73.9631611,3.295836866004329,,,
40.6740123,-73.9671457,3.1354942159291497,,,
40.6691783,-73.9554162,3.1354942159291497,,,
40.7638753,-73.9364848,2.9444389791664403,,,
40.70853074,-73.96408963,2.995732273553991,,,
40.75255434,-73.97282625,3.7612001156935624,,,
40.72740794,-73.98142006,4.553876891600541,,,
40.76873687,-73.96119945,3.7376696182833684,,,
40.7728384,-73.94989233,3.7376696182833684,,,
40.71924,-73.95242,3.6375861597263857,,,
40.71929301,-73.94500379,3.258096538021482,,,
40.68216564,-73.95399026,3.1780538303479458,,,
40.6809833854,-73.9500479759,3.1354942159291497,,,
40.74173969,-73.99415556,4.290459441148391,,,
40.70538,-73.92535,2.9444389791664403,,,
40.72903917,-73.99404649,3.1354942159291497,,,
40.74238787,-73.99726235,3.6375861597263857,,,
40.71173107,-73.99193043,3.2188758248682006,,,
40.71450451,-74.00562789,4.02535169073515,,,
40.71219906,-73.97948148,3.4965075614664802,,,
40.686371,-73.99383324,3.4011973816621555,,,
40.78813,-73.95206,3.091042453358316,,,
40.782454175279874,-73.9489196240902,4.276666119016055,,,
40.7921,-73.9739,3.091042453358316,,,
40.71915571696044,-73.94885390996933,3.713572066704308,,,
40.71335226222875,-73.9491033554077,2.6390573296152584,,,
40.808442,-73.9452087,3.4965075614664802,,,
40.71638031973561,-73.94821286201477,2.772588722239781,,,
40.7103685423523,-73.94705951213837,2.995732273553991,,,
40.7711528,-73.9170074,3.4965075614664802,,,
40.7767,-73.927631,3.4339872044851463,,,
40.809725,-73.953149,3.367295829986474,,,
40.7376037,-74.0524783,3.258096538021482,,,
40.7311689,-74.0575736,3.2188758248682006,,,
40.727595966,-74.044247311,3.1780538303479458,,,
40.7272235,-74.0337589,2.833213344056216,,,
40.7241765,-74.0506564,2.9444389791664403,,,
40.7016657,-73.9437303,3.295836866004329,,,
40.69196566,-73.9813018,4.07753744390572,,,
40.7242941,-74.0354826,2.70805020110221,,,
40.7192517,-74.034234,3.367295829986474,,,
40.7675487799971,-73.9209334552288,3.6109179126442243,,,
40.8038654,-73.9559308,3.4965075614664802,,,
40.69539817,-73.94954908,3.1354942159291497,,,
40.69622937,-73.94371094,2.9444389791664403,,,
40.7361967,-74.00859207,3.2188758248682006,,,
40.70029511,-73.95032283,3.367295829986474,,,
40.70411791,-73.94818595,3.295836866004329,,,
40.677236,-74.015665,3.4657359027997265,,,
40.7031724,-73.940636,3.5553480614894135,,,
40.6777748,-74.0094613,3.1354942159291497,,,
40.6773429,-74.01275056,3.5263605246161616,,,
40.679043,-74.011169,3.6375861597263857,,,
40.69239502,-73.99337909,3.8501476017100584,,,
40.735445,-73.99431,3.7376696182833684,,,
40.7437524099784,-73.94176483154297,2.9444389791664403,,,
40.74232744,-73.95411749,3.8066624897703196,,,
40.73564,-73.95866,3.2188758248682006,,,
40.72906,-73.95779,3.4011973816621555,,,
