name,latitude,longitude,free_bikes,empty_slots,total_bikes
Pioneer St & Richards St,40.6777748,-74.0094613,6,17,23
Van Brunt St & Wolcott St,40.6773429,-74.01275056,25,9,34
Pioneer St & Van Brunt St,40.679043,-74.011169,35,3,38
Clinton St & Joralemon St,40.69239502,-73.99337909,32,15,47
W 13 St & 5 Ave,40.735445,-73.99431,17,25,42
47 Ave & Skillman Ave,40.7437524099784,-73.94176483154297,15,4,19
Vernon Blvd & 50 Ave,40.74232744,-73.95411749,9,36,45
Franklin St & Dupont St,40.73564,-73.95866,24,1,25
Milton St & Franklin St,40.72906,-73.95779,29,1,30
Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,22,4,26
31 St & Broadway,40.761584,-73.925921,18,17,35
Crescent St & Broadway,40.7633589,-73.9286471,7,10,17
7 Ave & Park Pl,40.6776147,-73.97324283,8,17,25
Bergen St & Smith St,40.6867443,-73.99063168,11,36,47
Dean St & Hoyt St,40.6864442,-73.98759104,74,2,76
Bond St & Bergen St,40.6849668,-73.98620772,22,4,26
E 16 St & 5 Ave,40.73726186,-73.99238967,30,27,57
10 St & 2 Ave,40.671907,-73.993612,10,8,18
Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,20,12,32
Henry St & Middagh St,40.7003,-73.991581,10,26,36
Allen St & Rivington St,40.72019576,-73.98997825,17,19,36
Market St & Cherry St,40.71076228,-73.99400398,39,1,40
Newton Rd & 44 St,40.7595701,-73.9142678,15,3,18
28 St & 36 Ave,40.757186,-73.932719,6,22,28
Verona Pl & Fulton St,40.6803560840434,-73.9476791024208,13,6,19
37 Ave & 35 St,40.7531106,-73.9279917,13,13,26
Crescent St & 35 Ave,40.7596276,-73.9321455,16,7,23
21 St & 36 Ave,40.7601853,-73.9362726,19,0,19
36 Ave & 10 St,40.7614376,-73.9411265,17,1,18
Monroe St & Tompkins Ave,40.686203,-73.944694,15,2,17
Franklin Ave & St Marks Ave,40.6758324,-73.9561677,11,12,23
Willoughby Ave & Walworth St,40.69331716,-73.95381995,18,0,18
Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519,21,1,22
6 Ave & Canal St,40.72243797,-74.00566443,31,40,71
John St & William St,40.70862144,-74.00722156,23,15,38
Duffield St & Willoughby St,40.69221589,-73.9842844,41,4,45
Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,2,21,23
St James Pl & Pearl St,40.71117416,-74.00016545,19,5,24
Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,49,12,61
Lafayette Ave & St James Pl,40.68851534,-73.9647628,38,1,39
Atlantic Ave & Furman St,40.69165183,-73.9999786,31,3,34
Columbus Ave & W 103 St,40.7969347,-73.9643412291,9,28,37
Butler St & Court St,40.6849894,-73.99440329,33,1,34
Prospect Park West & 8 St,40.66514681533792,-73.97637605667114,21,3,24
Flushing Ave & Vanderbilt Ave,40.697950315695444,-73.97077560424805,12,11,23
North Moore St & Greenwich St,40.72019521437465,-74.0103006362915,7,21,28
Montgomery St & Franklin Ave,40.666439306870814,-73.9605563879013,11,6,17
