name,latitude,longitude,address,review_count,rating,categories,distance,url
Plum Vietnamese Restaurant,40.795,-73.9645,"210 W 94th St, New York, NY 10025",92,4.0,Vietnamese,681.0159175695978,https://www.yelp.com/biz/plum-vietnamese-restaurant-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Carmine's Italian Restaurant - Upper West Side,40.795,-73.9645,"2450 Broadway, New York, NY 10024",1743,4.0,Italian,893.5041793799238,https://www.yelp.com/biz/carmines-italian-restaurant-upper-west-side-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
La Grande Boucherie,40.7667405590595,-73.9790689945221,"145 W 53rd St, New York, NY 10019",2480,4.5,French,481.0964641238007,https://www.yelp.com/biz/la-grande-boucherie-new-york-2?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Tanner Smiths,40.7667405590595,-73.9790689945221,"204 W 55th St, New York, NY 10019",2043,4.5,Cocktail Bars,350.0398339637104,https://www.yelp.com/biz/tanner-smiths-new-york-2?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Angelo's Coal Oven Pizzeria,40.7667405590595,-73.9790689945221,"117 W 57th St, New York, NY 10019",1197,4.0,Pizza,225.21316958019924,https://www.yelp.com/biz/angelos-coal-oven-pizzeria-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Loi Estiatorio,40.7667405590595,-73.9790689945221,"132 W 58th St, New York, NY 10019",459,4.5,Greek,175.4836553325748,https://www.yelp.com/biz/loi-estiatorio-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Trattoria Dell'Arte,40.7667405590595,-73.9790689945221,"900 7th Ave, New York, NY 10019",1201,4.0,Italian,188.2707519904671,https://www.yelp.com/biz/trattoria-dellarte-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Carnegie Diner,40.7667405590595,-73.9790689945221,"205 W 57th St, New York, NY 10019",480,4.0,Burgers,142.82565105664023,https://www.yelp.com/biz/carnegie-diner-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Robert,40.7667405590595,-73.9790689945221,"2 Columbus Cir, New York, NY 10019",1047,4.0,American (New),260.21827568309385,https://www.yelp.com/biz/robert-new-york-25?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Vida Verde,40.7667405590595,-73.9790689945221,"248 W 55th St, New York, NY 10019",1591,4.5,Cocktail Bars,383.5583392749249,https://www.yelp.com/biz/vida-verde-new-york?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
Quality Bistro,40.7667405590595,-73.9790689945221,"120 W 55th St, New York, NY 10019",340,4.0,French,408.8151836926703,https://www.yelp.com/biz/quality-bistro-new-york-3?adjust_creative=0Mb7EZ24GH1bP7iZAx3urg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0Mb7EZ24GH1bP7iZAx3urg
